2022-03-07T10:17:17+00:00 server_name:alertmanager.xxx.yyy remote_port:51220 remote_addr:192.168.107.113 forwardedfor:- req:GET /lib/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1 http_status:200 size:31000 referer:https://dashboard.sgtest.xyz/ agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.002 host:dashboard.sgtest.xyz upstream_addr:172.18.0.3:9093 upstream_response_time:0.002
2022-03-07T10:17:17+00:00 server_name:alertmanager.xxx.yyy remote_port:51232 remote_addr:192.168.107.113 forwardedfor:- req:GET /api/v2/receivers HTTP/1.1 http_status:200 size:19 referer:https://dashboard.sgtest.xyz/ agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.001 host:dashboard.sgtest.xyz upstream_addr:172.18.0.3:9093 upstream_response_time:0.001
2022-03-07T10:17:17+00:00 server_name:alertmanager.xxx.yyy remote_port:51220 remote_addr:192.168.107.113 forwardedfor:- req:GET /api/v2/alerts/groups?silenced=false&inhibited=false&active=true HTTP/1.1 http_status:200 size:3 referer:https://dashboard.sgtest.xyz/ agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.001 host:dashboard.sgtest.xyz upstream_addr:172.18.0.3:9093 upstream_response_time:0.002
2022-03-07T10:17:17+00:00 server_name:alertmanager.xxx.yyy remote_port:51220 remote_addr:192.168.107.113 forwardedfor:- req:GET /lib/font-awesome-4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1 http_status:200 size:77160 referer:https://dashboard.sgtest.xyz/lib/font-awesome-4.7.0/css/font-awesome.min.css agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.002 host:dashboard.sgtest.xyz upstream_addr:172.18.0.3:9093 upstream_response_time:0.002
2022-03-07T10:17:48+00:00 server_name:dashboard.sgtest.xyz remote_port:59211 remote_addr:192.168.107.113 forwardedfor:- req:GET / HTTP/1.1 http_status:302 size:29 referer:- agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.005 host:dashboard.sgtest.xyz upstream_addr:172.18.0.7:3000 upstream_response_time:0.004
2022-03-07T10:17:48+00:00 server_name:dashboard.sgtest.xyz remote_port:59211 remote_addr:192.168.107.113 forwardedfor:- req:GET /login HTTP/1.1 http_status:200 size:28284 referer:- agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.032 host:dashboard.sgtest.xyz upstream_addr:172.18.0.7:3000 upstream_response_time:0.033
2022-03-07T10:17:49+00:00 server_name:dashboard.sgtest.xyz remote_port:59211 remote_addr:192.168.107.113 forwardedfor:- req:GET /public/build/grafana.dark.b86cc30c452b708f8c31.css HTTP/1.1 http_status:200 size:226545 referer:https://dashboard.sgtest.xyz/login agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.034 host:dashboard.sgtest.xyz upstream_addr:172.18.0.7:3000 upstream_response_time:0.035
2022-03-07T10:17:49+00:00 server_name:dashboard.sgtest.xyz remote_port:56024 remote_addr:192.168.107.113 forwardedfor:- req:GET /public/build/4210.b86cc30c452b708f8c31.js HTTP/1.1 http_status:200 size:320375 referer:https://dashboard.sgtest.xyz/login agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.048 host:dashboard.sgtest.xyz upstream_addr:172.18.0.7:3000 upstream_response_time:0.047
2022-03-07T10:17:49+00:00 server_name:dashboard.sgtest.xyz remote_port:56023 remote_addr:192.168.107.113 forwardedfor:- req:GET /public/build/3144.b86cc30c452b708f8c31.js HTTP/1.1 http_status:200 size:185627 referer:https://dashboard.sgtest.xyz/login agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.066 host:dashboard.sgtest.xyz upstream_addr:172.18.0.7:3000 upstream_response_time:0.066
2022-03-07T10:17:49+00:00 server_name:dashboard.sgtest.xyz remote_port:56025 remote_addr:192.168.107.113 forwardedfor:- req:GET /public/build/6498.b86cc30c452b708f8c31.js HTTP/1.1 http_status:200 size:85712 referer:https://dashboard.sgtest.xyz/login agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.065 host:dashboard.sgtest.xyz upstream_addr:172.18.0.7:3000 upstream_response_time:0.065
