2022-03-07T13:29:32+00:00 server_name:prom.sgtest.xyz remote_port:34525 remote_addr:192.168.2.254 forwardedfor:- req:GET / HTTP/1.1 http_status:302 size:29 referer:- agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.002 host:prom.sgtest.xyz upstream_addr:172.18.0.5:9090 upstream_response_time:0.002
2022-03-07T13:29:32+00:00 server_name:prom.sgtest.xyz remote_port:34525 remote_addr:192.168.2.254 forwardedfor:- req:GET /graph HTTP/1.1 http_status:200 size:714 referer:- agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.001 host:prom.sgtest.xyz upstream_addr:172.18.0.5:9090 upstream_response_time:0.001
2022-03-07T13:29:33+00:00 server_name:prom.sgtest.xyz remote_port:34525 remote_addr:192.168.2.254 forwardedfor:- req:GET /static/css/main.faad45b4.css HTTP/1.1 http_status:200 size:411722 referer:https://prom.sgtest.xyz/graph agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.249 host:prom.sgtest.xyz upstream_addr:172.18.0.5:9090 upstream_response_time:0.007
2022-03-07T13:29:36+00:00 server_name:prom.sgtest.xyz remote_port:34523 remote_addr:192.168.2.254 forwardedfor:- req:GET /static/js/main.8ea0e5d3.js HTTP/1.1 http_status:200 size:1637009 referer:https://prom.sgtest.xyz/graph agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:2.342 host:prom.sgtest.xyz upstream_addr:172.18.0.5:9090 upstream_response_time:0.036
2022-03-07T13:29:36+00:00 server_name:prom.sgtest.xyz remote_port:34523 remote_addr:192.168.2.254 forwardedfor:- req:GET /static/media/prometheus_logo_grey.3cf697e5443028ca5e5255b93c7906c5.svg HTTP/1.1 http_status:200 size:1533 referer:https://prom.sgtest.xyz/graph agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.002 host:prom.sgtest.xyz upstream_addr:172.18.0.5:9090 upstream_response_time:0.002
2022-03-07T13:29:36+00:00 server_name:prom.sgtest.xyz remote_port:34523 remote_addr:192.168.2.254 forwardedfor:- req:GET /-/ready HTTP/1.1 http_status:200 size:21 referer:https://prom.sgtest.xyz/graph agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.001 host:prom.sgtest.xyz upstream_addr:172.18.0.5:9090 upstream_response_time:0.001
2022-03-07T13:29:36+00:00 server_name:prom.sgtest.xyz remote_port:34525 remote_addr:192.168.2.254 forwardedfor:- req:GET /api/v1/query?query=time() HTTP/1.1 http_status:200 size:104 referer:https://prom.sgtest.xyz/graph?g0.expr=&g0.tab=1&g0.stacked=0&g0.show_exemplars=0&g0.range_input=1h agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.003 host:prom.sgtest.xyz upstream_addr:172.18.0.5:9090 upstream_response_time:0.002
2022-03-07T13:29:36+00:00 server_name:prom.sgtest.xyz remote_port:34523 remote_addr:192.168.2.254 forwardedfor:- req:GET /api/v1/label/__name__/values HTTP/1.1 http_status:200 size:1855 referer:https://prom.sgtest.xyz/graph?g0.expr=&g0.tab=1&g0.stacked=0&g0.show_exemplars=0&g0.range_input=1h agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.004 host:prom.sgtest.xyz upstream_addr:172.18.0.5:9090 upstream_response_time:0.005
2022-03-07T13:29:36+00:00 server_name:prom.sgtest.xyz remote_port:34523 remote_addr:192.168.2.254 forwardedfor:- req:GET /favicon.ico HTTP/1.1 http_status:200 size:15086 referer:https://prom.sgtest.xyz/graph?g0.expr=&g0.tab=1&g0.stacked=0&g0.show_exemplars=0&g0.range_input=1h agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.002 host:prom.sgtest.xyz upstream_addr:172.18.0.5:9090 upstream_response_time:0.002
2022-03-07T13:29:40+00:00 server_name:prom.sgtest.xyz remote_port:34523 remote_addr:192.168.2.254 forwardedfor:- req:GET /api/v1/rules HTTP/1.1 http_status:200 size:3337 referer:https://prom.sgtest.xyz/rules agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.006 host:prom.sgtest.xyz upstream_addr:172.18.0.5:9090 upstream_response_time:0.006
2022-03-07T13:29:44+00:00 server_name:prom.sgtest.xyz remote_port:24877 remote_addr:192.168.2.254 forwardedfor:- req:GET /api/v1/query?query=node_memory_MemAvailable_bytes+%2F+node_memory_MemTotal_bytes+*+100+%3C+10&time=1646659784.654 HTTP/1.1 http_status:200 size:87 referer:https://prom.sgtest.xyz/graph?g0.expr=node_memory_MemAvailable_bytes%20%2F%20node_memory_MemTotal_bytes%20*%20100%20%3C%2010&g0.tab=1&g0.stacked=0&g0.show_exemplars=0.g0.range_input=1h. agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.003 host:prom.sgtest.xyz upstream_addr:172.18.0.5:9090 upstream_response_time:0.003
2022-03-07T13:29:44+00:00 server_name:prom.sgtest.xyz remote_port:34514 remote_addr:192.168.2.254 forwardedfor:- req:GET /api/v1/label/__name__/values HTTP/1.1 http_status:200 size:1855 referer:https://prom.sgtest.xyz/graph?g0.expr=node_memory_MemAvailable_bytes%20%2F%20node_memory_MemTotal_bytes%20*%20100%20%3C%2010&g0.tab=1&g0.stacked=0&g0.show_exemplars=0.g0.range_input=1h. agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.007 host:prom.sgtest.xyz upstream_addr:172.18.0.5:9090 upstream_response_time:0.007
2022-03-07T13:29:44+00:00 server_name:prom.sgtest.xyz remote_port:24878 remote_addr:192.168.2.254 forwardedfor:- req:GET /api/v1/query?query=time() HTTP/1.1 http_status:200 size:104 referer:https://prom.sgtest.xyz/graph?g0.expr=node_memory_MemAvailable_bytes%20%2F%20node_memory_MemTotal_bytes%20*%20100%20%3C%2010&g0.tab=1&g0.stacked=0&g0.show_exemplars=0.g0.range_input=1h. agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.012 host:prom.sgtest.xyz upstream_addr:172.18.0.5:9090 upstream_response_time:0.012
2022-03-07T13:29:46+00:00 server_name:prom.sgtest.xyz remote_port:24878 remote_addr:192.168.2.254 forwardedfor:- req:GET /api/v1/rules HTTP/1.1 http_status:200 size:3332 referer:https://prom.sgtest.xyz/rules agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.005 host:prom.sgtest.xyz upstream_addr:172.18.0.5:9090 upstream_response_time:0.005
2022-03-07T13:34:01+00:00 server_name:prom.sgtest.xyz remote_port:34429 remote_addr:192.168.2.254 forwardedfor:- req:GET /rules HTTP/1.1 http_status:200 size:714 referer:- agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.002 host:prom.sgtest.xyz upstream_addr:172.18.0.5:9090 upstream_response_time:0.001
